Type	Complement Status	Start	End	Gene/Locus Tag	Strand Present?	Position(s)	Position(s) 2	Position(s) 3	Position(s) 4	Position(s) 5	Position(s) 6	Position(s) 7	Position(s) 8	Position(s) 9	
CDS	Not Complement	745894	746094	ftsX	Yes	745914	745940	746048							
CDS	Not Complement	747106	747306	SPNHU17_RS03725	Yes	747160	747176	747187	747253						
CDS	Not Complement	749338	749538	SPNHU17_RS03730	Yes	749379	749436	749534							
CDS	Not Complement	750293	750493	SPNHU17_RS03735	Yes	750350	750362	750416							
CDS	Not Complement	751851	752051	metK	Yes	751901									
CDS	Not Complement	753594	753794	SPNHU17_RS03745	Yes	753776									
CDS	Not Complement	754563	754763	holA	Yes	754660	754676	754711	754741	754753					
CDS	Not Complement	755773	755973	sodA	Yes	755812	755876	755918	755954	755958					
CDS	Not Complement	756535	756735	SPNHU17_RS03760	Yes	756671	756689	756724							
CDS	Not Complement	757086	757286	rlmN	Yes	757103	757125	757138	757144	757148	757168	757187	757205	757223	
CDS	Not Complement	758171	758371	SPNHU17_RS03770	Yes	758248	758332								
CDS	Not Complement	758655	758855	SPNHU17_RS03775	Yes	758667									
CDS	Complement	761255	761455	SPNHU17_RS03780	Yes	761373	761418								
CDS	Complement	761559	761759	SPNHU17_RS03785	Yes	761563	761589	761637							
CDS	Complement	762247	762447	SPNHU17_RS03790	Yes	762298	762339	762387	762403						
CDS	Not Complement	762217	762417	rpsP											
CDS	Not Complement	762509	762709	kphA	Yes	762522	762555	762572	762659						
CDS	Not Complement	762897	763097	SPNHU17_RS03805	Yes	762943	763007								
CDS	Not Complement	763325	763525	SPNHU17_RS03810	Yes	763355	763417	763452							
CDS	Not Complement	764144	764344	rimM	Yes	764188	764278	764321							
CDS	Not Complement	764652	764852	trmD	Yes	764707	764750	764833							
CDS	Not Complement	765383	765583	SPNHU17_RS03825	Yes	765440	765478	765536	765551	765560	765579				
CDS	Complement	766271	766471	SPNHU17_RS03830	Yes	766350	766368	766390	766420	766426	766444				
CDS	Not Complement	766169	766369	SPNHU17_RS03835											
CDS	Complement	766727	766927	SPNHU17_RS10940											
CDS	Complement	767324	767524	SPNHU17_RS03845	Yes	767471									
CDS	Complement	768867	769067	gor	Yes	768872	769030								
CDS	Not Complement	768932	769132	SPNHU17_RS03855	Yes	769085	769119								
CDS	Not Complement	770115	770315	SPNHU17_RS03860	Yes	770210	770224	770233	770300						
CDS	Not Complement	770818	771018	SPNHU17_RS03865	Yes	770898	771003	771011							
CDS	Not Complement	772201	772401	metG	Yes	772244	772333	772368	772391	772396					
CDS	Not Complement	774574	774774	SPNHU17_RS03875	Yes	774610									
CDS	Not Complement	774898	775098	SPNHU17_RS03880	Yes	774936	775010								
CDS	Not Complement	775788	775988	SPNHU17_RS03885	Yes	775969	775981								
CDS	Not Complement	776814	777014	SPNHU17_RS03890	Yes	776868	776882	777010							
CDS	Not Complement	777043	777243	SPNHU17_RS03895	Yes	777055	777089								
CDS	Not Complement	777752	777952	SPNHU17_RS03900	Yes	777816	777849	777883							
CDS	Not Complement	778230	778430	SPNHU17_RS03905	Yes	778234	778339								
CDS	Not Complement	779074	779274	SPNHU17_RS03910	Yes	779088	779249								
CDS	Not Complement	779637	779837	SPNHU17_RS03915	Yes	779670	779732	779742	779833						
CDS	Not Complement	782292	782492	ciaR	Yes	782306	782339	782376	782405						
CDS	Not Complement	782956	783156	ciaH	Yes	783091									
CDS	Complement	784811	785011	SPNHU17_RS03930	Yes	784874	784932	784957	784984						
CDS	Not Complement	784751	784951	SPNHU17_RS03935											
CDS	Not Complement	785880	786080	SPNHU17_RS03940	Yes	786002	786024								
CDS	Not Complement	788367	788567	SPNHU17_RS03945	Yes	788421	788549								
CDS	Not Complement	789601	789801	SPNHU17_RS03950	Yes	789734	789744	789763	789797						
CDS	Not Complement	790240	790440	SPNHU17_RS03955	Yes	790389	790400								
CDS	Not Complement	790818	791018	gyrB	Yes	790840	790875	791007							
CDS	Not Complement	792846	793046	ezrA	Yes	792935									
CDS	Not Complement	795430	795630	SPNHU17_RS03970											
CDS	Complement	796134	796334	tnpB											
CDS	Complement	797703	797903	SPNHU17_RS03980	Yes	797794	797858								
CDS	Complement	798138	798338	SPNHU17_RS03985	Yes	798211									
CDS	Complement	798725	798925	SPNHU17_RS03990	Yes	798740	798797								
CDS	Not Complement	799072	799272	SPNHU17_RS03995											
CDS	Complement	801938	802138	SPNHU17_RS04000	Yes	802074									
CDS	Complement	802397	802597	SPNHU17_RS04005	Yes	802461	802575								
CDS	Not Complement	802387	802587	SPNHU17_RS04010											
CDS	Not Complement	803070	803270	SPNHU17_RS04015	Yes	803231	803241	803267							
CDS	Not Complement	803958	804158	SPNHU17_RS04020	Yes	803994	804038	804071	804091	804142	804146				
CDS	Not Complement	804957	805157	SPNHU17_RS04025	Yes	805011	805021	805072	805151						
CDS	Not Complement	806111	806311	rpiA	Yes	806140	806196	806201	806220	806231					
CDS	Not Complement	806808	807008	SPNHU17_RS04035	Yes	806984	806989								
CDS	Not Complement	808021	808221	SPNHU17_RS04040	Yes	808110	808178	808196							
CDS	Not Complement	808579	808779	SPNHU17_RS04045	Yes	808592	808615	808637							
CDS	Not Complement	809235	809435	SPNHU17_RS04050											
CDS	Not Complement	810385	810585	SPNHU17_RS04055	Yes	810420	810425	810442							
CDS	Not Complement	810790	810990	SPNHU17_RS04060	Yes	810911									
CDS	Not Complement	811390	811590	SPNHU17_RS04065	Yes	811461	811557	811567							
CDS	Not Complement	812556	812756	deoD	Yes	812624	812661	812670	812689						
CDS	Complement	814013	814213	SPNHU17_RS04075	Yes	814088	814174	814201							
CDS	Complement	814302	814502	rpsT	Yes	814346	814368								
CDS	Complement	815290	815490	coaA	Yes	815406									
CDS	Not Complement	815288	815488	SPNHU17_RS04090											
CDS	Not Complement	815908	816108	SPNHU17_RS04095	Yes	815991	816004								
CDS	Not Complement	816486	816686	SPNHU17_RS04100	Yes	816519	816530	816549	816581	816639	816683				
CDS	Not Complement	817783	817983	deoC	Yes	817790	817808	817841	817869	817943	817952				
CDS	Not Complement	818432	818632	SPNHU17_RS04110	Yes	818496									
CDS	Not Complement	818911	819111	SPNHU17_RS04115											
CDS	Not Complement	820107	820307	SPNHU17_RS04120	Yes	820158	820278	820296							
CDS	Not Complement	821635	821835	SPNHU17_RS04125	Yes	821771	821814	821823							
CDS	Not Complement	822696	822896	SPNHU17_RS04130	Yes	822869									
CDS	Complement	824652	824852	plsY	Yes	824679	824683	824704	824721	824725	824747	824803			
CDS	Not Complement	824588	824788	parE											
CDS	Not Complement	826987	827187	parC	Yes	827041	827073								
CDS	Not Complement	829554	829754	SPNHU17_RS04150	Yes	829628	829667	829677	829706	829727					
CDS	Not Complement	830632	830832	SPNHU17_RS04155	Yes	830675	830804	830810							
CDS	Not Complement	831401	831601	SPNHU17_RS04160	Yes	831419	831483	831522							
CDS	Not Complement	832087	832287	SPNHU17_RS04165	Yes	832159									
CDS	Not Complement	833025	833225	pcp	Yes	833120	833219								
CDS	Not Complement	833837	834037	SPNHU17_RS04175	Yes	834017									
tRNA	Not Complement	834117	834317	SPNHU17_RS04180	Yes	834151	834223	834235	834247	834284					
tRNA	Not Complement	834207	834407	SPNHU17_RS04185											
CDS	Not Complement	834440	834640	rpsA	Yes	834504	834542	834584	834613						
CDS	Not Complement	835867	836067	SPNHU17_RS04195											
CDS	Not Complement	836364	836564	dnaX	Yes	836397	836523	836556							
CDS	Not Complement	838047	838247	SPNHU17_RS04205	Yes	838096	838145	838160	838224						
CDS	Not Complement	838391	838591	sufC	Yes	838435	838498	838536	838575	838581					
CDS	Not Complement	839189	839389	sufD											
CDS	Not Complement	840462	840662	SPNHU17_RS04220	Yes	840613	840636								
CDS	Not Complement	841675	841875	SPNHU17_RS04225											
CDS	Not Complement	842169	842369	sufB	Yes	842288	842298	842307	842349	842357	842361				
CDS	Complement	845253	845453	pbp3	Yes	845279	845324	845369	845395						
CDS	Not Complement	845156	845356	cozE											
tmRNA	Not Complement	846799	846999	ssrA	Yes	846852	846868	846882							
tRNA	Complement	847616	847816	SPNHU17_RS04250	Yes	847675	847682	847699	847703	847729	847733				
CDS	Not Complement	847578	847778	SPNHU17_RS04255											
CDS	Not Complement	848315	848515	pfkB	Yes	848347	848497								
CDS	Not Complement	849223	849423	SPNHU17_RS04265	Yes	849394	849404	849418							
CDS	Not Complement	851339	851539	SPNHU17_RS04270	Yes	851385	851392	851432	851443	851518	851522				
CDS	Complement	854243	854443	SPNHU17_RS04275	Yes	854310	854369	854379	854435						
CDS	Not Complement	854181	854381	SPNHU17_RS04280											
CDS	Not Complement	855332	855532	thiI	Yes	855369	855449	855513							
CDS	Not Complement	856683	856883	SPNHU17_RS04290	Yes	856690	856708	856754	856773						
CDS	Not Complement	857529	857729	SPNHU17_RS10945	Yes	857651	857666	857699	857716	857721					
CDS	Not Complement	857861	858061	SPNHU17_RS10950	Yes	857962	857984								
CDS	Not Complement	858281	858481	SPNHU17_RS04300	Yes	858366									
CDS	Not Complement	860381	860581	SPNHU17_RS04305	Yes	860527	860571								
CDS	Not Complement	861887	862087	SPNHU17_RS04310	Yes	861925	861973	862011	862027	862033	862060				
CDS	Not Complement	862926	863126	SPNHU17_RS10955	Yes	862935	863002	863010	863086						
CDS	Not Complement	863183	863383	SPNHU17_RS04315	Yes	863285	863296	863378							
CDS	Not Complement	863416	863616	SPNHU17_RS04320	Yes	863475	863614								
CDS	Not Complement	863947	864147	SPNHU17_RS04325	Yes	863967	864015	864062	864102	864136	864144				
CDS	Not Complement	864946	865146	SPNHU17_RS04330											
CDS	Not Complement	865910	866110	SPNHU17_RS04335	Yes	865930	866055	866065	866106						
CDS	Not Complement	869531	869731	SPNHU17_RS04340	Yes	869673	869679	869715	869721						
CDS	Complement	870473	870673	SPNHU17_RS04345											
CDS	Complement	872763	872963	SPNHU17_RS04350	Yes	872818	872843								
CDS	Not Complement	872911	873111	SPNHU17_RS04355	Yes	873016	873038	873070							
CDS	Not Complement	876095	876295	pfkA	Yes	876122	876176	876186	876197	876223	876277				
CDS	Not Complement	877161	877361	pyk	Yes	877165	877177								
CDS	Complement	879777	879977	SPNHU17_RS04370	Yes	879806									
CDS	Complement	880165	880365	SPNHU17_RS04375	Yes	880357									
CDS	Not Complement	880401	880601	SPNHU17_RS04380	Yes	880403	880409	880454	880486	880512	880537	880571	880597		
CDS	Not Complement	881935	882135	SPNHU17_RS04385	Yes	882026	882117								
CDS	Not Complement	882250	882450	SPNHU17_RS04390	Yes	882283	882372								
CDS	Complement	884111	884311	SPNHU17_RS04395	Yes	884251	884276								
CDS	Complement	885013	885213	SPNHU17_RS04400	Yes	885062	885198								
CDS	Not Complement	885270	885470	SPNHU17_RS04405	Yes	885428	885441								
CDS	Not Complement	887386	887586	SPNHU17_RS04410	Yes	887539	887558								
CDS	Not Complement	887894	888094	SPNHU17_RS04415	Yes	888040	888082	888089							
CDS	Complement	888911	889111	SPNHU17_RS04420	Yes	889068									
CDS	Not Complement	889139	889339	SPNHU17_RS04425	Yes	889219	889237	889245	889262	889328					
CDS	Not Complement	889899	890099	SPNHU17_RS04430	Yes	889909	890056								
CDS	Complement	892803	893003	SPNHU17_RS04435											
CDS	Complement	893046	893246	SPNHU17_RS04440	Yes	893210									
CDS	Not Complement	893553	893753	SPNHU17_RS04445	Yes	893564	893608	893636	893675	893742					
CDS	Complement	895430	895630	SPNHU17_RS10960	Yes	895439									
CDS	Not Complement	895851	896051	speE	Yes	895941	895962	896047							
CDS	Not Complement	896708	896908	SPNHU17_RS04455	Yes	896761	896803	896904							
CDS	Not Complement	897967	898167	nspC	Yes	898056	898147								
CDS	Not Complement	899091	899291	aguA	Yes	899118									
CDS	Not Complement	900186	900386	aguB	Yes	900382									
CDS	Complement	902250	902450	SPNHU17_RS04475	Yes	902303	902313								
CDS	Not Complement	902322	902522	SPNHU17_RS04480	Yes	902515									
CDS	Not Complement	902597	902797	SPNHU17_RS04485	Yes	902770	902782								
CDS	Complement	903717	903917	SPNHU17_RS04490	Yes	903779	903830	903908							
CDS	Not Complement	903510	903710	SPNHU17_RS04495											
CDS	Not Complement	904415	904615	lspA	Yes	904612									
CDS	Not Complement	904866	905066	SPNHU17_RS04505	Yes	904922	905062								
CDS	Not Complement	905756	905956	cbpE	Yes	905827	905930	905949							
CDS	Not Complement	907752	907952	proB	Yes	907759	907819	907857							
CDS	Not Complement	908871	909071	SPNHU17_RS04520	Yes	908909	908916	908928	909035						
CDS	Not Complement	910137	910337	proC	Yes	910229	910249								
CDS	Not Complement	911154	911354	tmk	Yes	911181	911277	911343							
CDS	Not Complement	911789	911989	SPNHU17_RS04535	Yes	911888	911898	911948							
CDS	Not Complement	912719	912919	yabA	Yes	912815	912870	912874	912903	912908					
CDS	Not Complement	913039	913239	rsmI	Yes	913051	913123								
CDS	Not Complement	914052	914252	trmFO	Yes	914100	914109	914166	914176						
CDS	Not Complement	915470	915670	pyrH	Yes	915536	915597	915630	915655	915669					
CDS	Not Complement	916216	916416	frr	Yes	916363	916399	916411							
CDS	Not Complement	916833	917033	cvfB	Yes	916838	916845	916857	916887	916955	916986	917023	917031		
CDS	Not Complement	917696	917896	SPNHU17_RS04570	Yes	917699	917732	917821							
CDS	Not Complement	917997	918197	SPNHU17_RS04575	Yes	918171									
CDS	Not Complement	919109	919309	SPNHU17_RS04580	Yes	919287	919305								
CDS	Not Complement	919746	919946	SPNHU17_RS04585	Yes	919758	919813	919888	919893	919943					
CDS	Not Complement	920380	920580	SPNHU17_RS04590	Yes	920402	920466	920567							
CDS	Not Complement	922799	922999	SPNHU17_RS04595	Yes	922802	922809	922848	922896						
CDS	Not Complement	923019	923219	SPNHU17_RS04600	Yes	923205									
CDS	Not Complement	923610	923810	SPNHU17_RS04605											
CDS	Not Complement	925098	925298	infC	Yes	925130	925157	925215	925228						
CDS	Not Complement	925661	925861	rpmI	Yes	925838	925855								
CDS	Not Complement	925913	926113	rplT	Yes	925967	925977	926058	926093	926106					
CDS	Not Complement	926330	926530	SPNHU17_RS04625	Yes	926364	926526								
CDS	Not Complement	926960	927160	SPNHU17_RS04630	Yes	926965	927155								
CDS	Not Complement	927723	927923	SPNHU17_RS04635	Yes	927892									
CDS	Not Complement	928751	928951	lytB	Yes	928829									
CDS	Complement	932832	933032	pavA	Yes	932896	932926	932949	932961	932982	933003				
CDS	Not Complement	932737	932937	ybeY											
CDS	Not Complement	933215	933415	SPNHU17_RS04655	Yes	933402									
CDS	Not Complement	933627	933827	era	Yes	933658	933824								
CDS	Not Complement	934574	934774	mutM	Yes	934585	934646	934666	934715						
CDS	Not Complement	935398	935598	coaE	Yes	935416	935541								
CDS	Not Complement	935990	936190	SPNHU17_RS04675	Yes	936032	936093	936101							
CDS	Not Complement	937189	937389	rpmG	Yes	937384									
CDS	Not Complement	937378	937578	secG	Yes	937506	937510								
CDS	Not Complement	937713	937913	rnr	Yes	937815	937889	937906	937910						
CDS	Not Complement	940030	940230	smpB	Yes	940049	940060	940128	940180	940188	940192	940219			
CDS	Not Complement	940513	940713	tehB	Yes	940679	940712								
CDS	Not Complement	941446	941646	coiA	Yes	941487	941564	941633							
CDS	Not Complement	942418	942618	pepF	Yes	942422	942584								
CDS	Not Complement	944222	944422	SPNHU17_RS04715	Yes	944311	944403								
CDS	Not Complement	945002	945202	prsA	Yes	945127	945145	945156							
CDS	Not Complement	946698	946898	SPNHU17_RS04725	Yes	946755									
CDS	Complement	947866	948066	SPNHU17_RS04730											
CDS	Complement	948348	948548	SPNHU17_RS04735	Yes	948442	948528								
CDS	Complement	949190	949390	SPNHU17_RS04740	Yes	949261	949311								
CDS	Complement	950085	950285	SPNHU17_RS04745	Yes	950186	950218	950279							
CDS	Not Complement	950029	950229	glmU											
CDS	Not Complement	951418	951618	SPNHU17_RS04755											
CDS	Not Complement	952002	952202	macP	Yes	952020	952047	952085	952157						
CDS	Not Complement	952306	952506	SPNHU17_RS04765	Yes	952340	952391	952404	952480	952495					
CDS	Not Complement	953075	953275	rocS	Yes	953205	953248	953257							
CDS	Not Complement	953664	953864	SPNHU17_RS04775	Yes	953683									
CDS	Not Complement	954263	954463	SPNHU17_RS04780	Yes	954398									
CDS	Not Complement	956482	956682	SPNHU17_RS04785	Yes	956523									
CDS	Not Complement	956724	956924	SPNHU17_RS04790	Yes	956786	956813								
CDS	Not Complement	957359	957559	ccdA2	Yes	957452	957495	957546							
CDS	Not Complement	958077	958277	sdbB	Yes	958185									
CDS	Not Complement	959008	959208	SPNHU17_RS04805	Yes	959012	959023	959133							
CDS	Not Complement	960542	960742	adcAII	Yes	960606	960649	960653							
CDS	Not Complement	961467	961667	SPNHU17_RS04815	Yes	961504	961531	961615	961627	961664					
CDS	Not Complement	961765	961965	SPNHU17_RS04820	Yes	961768	961823								
CDS	Not Complement	962354	962554	phtE	Yes	962406	962419	962490	962521	962543					
CDS	Not Complement	965699	965899	SPNHU17_RS04830	Yes	965729	965888								
CDS	Not Complement	966363	966563	SPNHU17_RS04840	Yes	966512									
CDS	Not Complement	967254	967454	SPNHU17_RS10965	Yes	967448									
CDS	Complement	969331	969531	pepT	Yes	969376	969385	969491							
CDS	Not Complement	969286	969486	hemH											
CDS	Complement	970999	971199	mscL											
CDS	Complement	971512	971712	SPNHU17_RS04875	Yes	971632	971640								
regulatory	Not Complement	971341	971541	riboswitch											
CDS	Not Complement	971435	971635	SPNHU17_RS04880											
tRNA	Not Complement	972044	972244	SPNHU17_RS04885	Yes	972190	972203								
CDS	Not Complement	972991	973191	SPNHU17_RS04890	Yes	973112	973133	973161	973171	973180					
CDS	Not Complement	974123	974323	dapA	Yes	974133	974208	974252	974307						
CDS	Complement	976678	976878	mnmE	Yes	976714	976786								
CDS	Complement	976997	977197	SPNHU17_RS04905	Yes	977064	977100	977118							
CDS	Not Complement	976920	977120	SPNHU17_RS04910											
CDS	Not Complement	977509	977709	SPNHU17_RS04915	Yes	977534	977563	977642							
CDS	Not Complement	977998	978198	prfA	Yes	978084	978129	978138	978185	978195					
CDS	Not Complement	979077	979277	prmC											
CDS	Not Complement	979900	980100	SPNHU17_RS04930	Yes	979988	980031	980045							
CDS	Not Complement	980504	980704	SPNHU17_RS04935	Yes	980627									
CDS	Not Complement	980997	981197	SPNHU17_RS04940	Yes	981082	981114								
CDS	Not Complement	982261	982461	SPNHU17_RS04945	Yes	982331	982379								
CDS	Not Complement	983235	983435	pmp23	Yes	983256	983282	983289	983382						
CDS	Not Complement	983923	984123	SPNHU17_RS04955	Yes	983973	984116								
CDS	Not Complement	984971	985171	rlmD	Yes	985101	985161	985167							
CDS	Not Complement	986816	987016	SPNHU17_RS04965	Yes	986900	986956								
CDS	Not Complement	987351	987551	SPNHU17_RS04970	Yes	987536									
CDS	Not Complement	987573	987773	SPNHU17_RS04975	Yes	987607	987663	987695	987772						
CDS	Not Complement	987963	988163	SPNHU17_RS04980	Yes	987968	987983	988024	988073	988144					
CDS	Not Complement	988978	989178	SPNHU17_RS04985	Yes	989166									
CDS	Not Complement	989985	990185	SPNHU17_RS04990	Yes	990102	990164								
CDS	Not Complement	990992	991192	SPNHU17_RS04995	Yes	991024									
CDS	Not Complement	991937	992137	SPNHU17_RS10970											
CDS	Not Complement	992240	992440	SPNHU17_RS05000	Yes	992254	992263	992293	992320	992335	992346	992402			
CDS	Not Complement	992544	992744	SPNHU17_RS05005	Yes	992559									
CDS	Not Complement	993539	993739	SPNHU17_RS05010	Yes	993584									
CDS	Not Complement	993792	993992	SPNHU17_RS05015	Yes	993858	993925	993970							
CDS	Not Complement	995739	995939	SPNHU17_RS05020	Yes	995852	995923								
CDS	Not Complement	996627	996827	SPNHU17_RS05025	Yes	996700	996826								
CDS	Not Complement	996877	997077	SPNHU17_RS05030	Yes	996883	996890								
CDS	Not Complement	997693	997893	SPNHU17_RS05035	Yes	997717	997769	997773	997794	997803					
CDS	Not Complement	998659	998859	SPNHU17_RS05040	Yes	998727	998822								
CDS	Not Complement	999706	999906	SPNHU17_RS05045	Yes	999734	999755	999862							
CDS	Not Complement	1001720	1001920	SPNHU17_RS05050	Yes	1001752									
CDS	Not Complement	1002078	1002278	SPNHU17_RS05055	Yes	1002190	1002245								
CDS	Not Complement	1002553	1002753	SPNHU17_RS05060	Yes	1002583	1002697	1002714	1002752						
CDS	Not Complement	1003228	1003428	SPNHU17_RS05065	Yes	1003246									
CDS	Not Complement	1003614	1003814	SPNHU17_RS05070	Yes	1003656	1003698	1003717	1003767	1003790					
CDS	Not Complement	1004072	1004272	SPNHU17_RS05075	Yes	1004188	1004218								
CDS	Not Complement	1005321	1005521	ppc	Yes	1005383	1005442	1005472	1005511						
misc_binding	Not Complement	1008100	1008300	COORDINATES: nucleotide											
CDS	Not Complement	1008430	1008630	SPNHU17_RS05085	Yes	1008475	1008563	1008567	1008598	1008612	1008625				
CDS	Not Complement	1009503	1009703	SPNHU17_RS05090	Yes	1009688									
CDS	Not Complement	1010659	1010859	SPNHU17_RS05095	Yes	1010841									
CDS	Not Complement	1011507	1011707	dnaG	Yes	1011536	1011573	1011587	1011627	1011637	1011658				
CDS	Not Complement	1013270	1013470	rpoD	Yes	1013337									
CDS	Not Complement	1014393	1014593	SPNHU17_RS05110	Yes	1014406	1014443	1014471	1014527	1014590					
CDS	Not Complement	1014837	1015037	cpoA	Yes	1014881	1014954	1014964	1015019						
CDS	Not Complement	1015896	1016096	SPNHU17_RS05120	Yes	1015930	1015985	1016056	1016076						
CDS	Not Complement	1017250	1017450	SPNHU17_RS05125	Yes	1017256	1017406	1017424	1017440						
CDS	Not Complement	1017485	1017685	SPNHU17_RS05130	Yes	1017628	1017659	1017683							
CDS	Not Complement	1017683	1017883	obgE	Yes	1017707	1017732	1017834	1017880						
CDS	Not Complement	1019003	1019203	SPNHU17_RS05140	Yes	1019026	1019037	1019082							
CDS	Not Complement	1020410	1020610	SPNHU17_RS05145	Yes	1020526	1020536	1020583	1020591	1020602					
CDS	Not Complement	1021685	1021885	SPNHU17_RS05150	Yes	1021777	1021825								
CDS	Not Complement	1022229	1022429	spxR	Yes	1022237	1022302	1022384							
CDS	Not Complement	1023522	1023722	SPNHU17_RS05160	Yes	1023709	1023719								
CDS	Not Complement	1025450	1025650	pcrA	Yes	1025500	1025513	1025532	1025621						
CDS	Not Complement	1027784	1027984	radC	Yes	1027815	1027872	1027899	1027932						
CDS	Complement	1029350	1029550	SPNHU17_RS05175	Yes	1029471									
CDS	Complement	1030009	1030209	SPNHU17_RS05180	Yes	1030046	1030056	1030076	1030087	1030127					
CDS	Complement	1030307	1030507	SPNHU17_RS05185	Yes	1030411									
CDS	Complement	1030662	1030862	SPNHU17_RS05190	Yes	1030851									
CDS	Complement	1031782	1031982	SPNHU17_RS05195											
CDS	Complement	1032751	1032951	SPNHU17_RS05200	Yes	1032925									
CDS	Complement	1033433	1033633	SPNHU17_RS05205	Yes	1033460	1033513								
CDS	Not Complement	1033361	1033561	SPNHU17_RS05210											
CDS	Not Complement	1034016	1034216	SPNHU17_RS05215	Yes	1034083	1034119	1034128	1034180	1034201					
CDS	Not Complement	1034831	1035031	SPNHU17_RS05220	Yes	1034868									
CDS	Not Complement	1035771	1035971	pta	Yes	1035868	1035966								
CDS	Complement	1037631	1037831	SPNHU17_RS05230	Yes	1037815									
CDS	Not Complement	1037833	1038033	SPNHU17_RS05235	Yes	1037868	1037999	1038003	1038027						
CDS	Not Complement	1038719	1038919	rplU	Yes	1038723	1038757	1038892							
CDS	Not Complement	1039049	1039249	SPNHU17_RS05245	Yes	1039057	1039114	1039124	1039134						
CDS	Not Complement	1039410	1039610	rpmA	Yes	1039462	1039495	1039588	1039604						
CDS	Not Complement	1040551	1040751	SPNHU17_RS05260	Yes	1040670	1040691	1040723							
CDS	Complement	1042609	1042809	SPNHU17_RS05265	Yes	1042656	1042716	1042740							
CDS	Not Complement	1042551	1042751	SPNHU17_RS05270											
CDS	Not Complement	1043497	1043697	SPNHU17_RS05275	Yes	1043501	1043522	1043614	1043675						
CDS	Not Complement	1044198	1044398	SPNHU17_RS05280	Yes	1044211	1044249	1044269	1044380						
CDS	Not Complement	1046102	1046302	SPNHU17_RS05285	Yes	1046126	1046135	1046141	1046156	1046192					
CDS	Not Complement	1047045	1047245	SPNHU17_RS05290	Yes	1047148	1047184								
CDS	Not Complement	1048316	1048516	ligA	Yes	1048412									
CDS	Not Complement	1050386	1050586	pulA	Yes	1050466	1050555	1050561	1050577						
CDS	Not Complement	1053210	1053410	SPNHU17_RS05305	Yes	1053235	1053307	1053323	1053366						
CDS	Not Complement	1055117	1055317	glgB	Yes	1055143	1055149	1055172	1055292						
CDS	Not Complement	1057035	1057235	SPNHU17_RS05315	Yes	1057074	1057116	1057173	1057191	1057234					
CDS	Not Complement	1058167	1058367	glgD	Yes	1058306									
CDS	Not Complement	1059303	1059503	glgA	Yes	1059473									
CDS	Not Complement	1060795	1060995	SPNHU17_RS05330	Yes	1060827	1060848								
CDS	Not Complement	1061111	1061311	SPNHU17_RS05335	Yes	1061145	1061158								
CDS	Not Complement	1061449	1061649	SPNHU17_RS05340	Yes	1061453	1061457	1061476	1061575	1061646					
CDS	Complement	1063207	1063407	SPNHU17_RS05345	Yes	1063211	1063252	1063278	1063309						
CDS	Not Complement	1063171	1063371	eno											
CDS	Complement	1065193	1065393	SPNHU17_RS05355											
CDS	Complement	1065407	1065607	SPNHU17_RS05360											
CDS	Not Complement	1065901	1066101	SPNHU17_RS05365	Yes	1065989	1066017	1066036							
CDS	Not Complement	1066256	1066456	rexB	Yes	1066369	1066374	1066437							
CDS	Not Complement	1069528	1069728	addA	Yes	1069549	1069642	1069681	1069705						
CDS	Not Complement	1073498	1073698	SPNHU17_RS05380	Yes	1073688									
CDS	Not Complement	1074884	1075084	SPNHU17_RS05385	Yes	1074946									
CDS	Not Complement	1081363	1081563	SPNHU17_RS05395	Yes	1081379	1081519	1081561							
CDS	Not Complement	1081533	1081733	SPNHU17_RS05400	Yes	1081620	1081668								
CDS	Not Complement	1082411	1082611	dcm	Yes	1082499	1082596								
CDS	Not Complement	1083753	1083953	SPNHU17_RS05410	Yes	1083851	1083940	1083949							
CDS	Not Complement	1084195	1084395	SPNHU17_RS05415	Yes	1084260	1084315								
CDS	Not Complement	1084588	1084788	SPNHU17_RS05420	Yes	1084733									
CDS	Not Complement	1085160	1085360	SPNHU17_RS05425											
CDS	Not Complement	1085772	1085972	SPNHU17_RS05430	Yes	1085881	1085913	1085961							
CDS	Not Complement	1086362	1086562	SPNHU17_RS05435	Yes	1086383	1086460								
CDS	Not Complement	1087480	1087680	SPNHU17_RS05440	Yes	1087513									
CDS	Not Complement	1087769	1087969	SPNHU17_RS05445	Yes	1087832	1087910	1087939							
CDS	Not Complement	1088257	1088457	SPNHU17_RS05450	Yes	1088280	1088323	1088346	1088442						
CDS	Not Complement	1090155	1090355	SPNHU17_RS05455	Yes	1090224	1090278	1090343	1090351						
CDS	Not Complement	1090414	1090614	SPNHU17_RS05460	Yes	1090538									
CDS	Not Complement	1091322	1091522	SPNHU17_RS05465	Yes	1091336	1091513	1091518							
CDS	Not Complement	1091632	1091832	SPNHU17_RS05470	Yes	1091767	1091817	1091821							
CDS	Not Complement	1094001	1094201	SPNHU17_RS05475	Yes	1094049	1094070								
CDS	Complement	1097233	1097433	SPNHU17_RS05480	Yes	1097249	1097258	1097267	1097303	1097311	1097393	1097399	1097405		
CDS	Not Complement	1097052	1097252	SPNHU17_RS05485											
CDS	Not Complement	1097779	1097979	SPNHU17_RS05490	Yes	1097927	1097950	1097967							
CDS	Not Complement	1098237	1098437	SPNHU17_RS05495	Yes	1098261	1098273	1098351	1098372	1098427					
